"","DATETIME","preclose","open","high","low","last","volume","amount"
"464",2017-03-23 09:50:33,9.16,9.16,9.23,9.15,9.23,8625482,79295035
"465",2017-03-23 09:50:36,9.16,9.16,9.23,9.15,9.23,8631382,79349492
"466",2017-03-23 09:50:39,9.16,9.16,9.23,9.15,9.22,8638282,79413110
"467",2017-03-23 09:50:42,9.16,9.16,9.23,9.15,9.23,8639282,79422340
"468",2017-03-23 09:50:45,9.16,9.16,9.23,9.15,9.22,8640782,79436175
"469",2017-03-23 09:50:48,9.16,9.16,9.23,9.15,9.23,8668382,79690922
"470",2017-03-23 09:50:51,9.16,9.16,9.23,9.15,9.23,8669382,79700152
"471",2017-03-23 09:50:54,9.16,9.16,9.23,9.15,9.23,8675582,79757328
"472",2017-03-23 09:50:57,9.16,9.16,9.23,9.15,9.23,8675582,79757328
"473",2017-03-23 09:51:00,9.16,9.16,9.23,9.15,9.23,8676582,79766558
"474",2017-03-23 09:51:03,9.16,9.16,9.23,9.15,9.22,8680182,79799773
"475",2017-03-23 09:51:06,9.16,9.16,9.23,9.15,9.23,8690682,79896671
"476",2017-03-23 09:51:09,9.16,9.16,9.23,9.15,9.22,8695682,79942771
"477",2017-03-23 09:51:12,9.16,9.16,9.23,9.15,9.23,8698482,79968607
"478",2017-03-23 09:51:15,9.16,9.16,9.23,9.15,9.23,8710582,80080277
"479",2017-03-23 09:51:18,9.16,9.16,9.23,9.15,9.22,8711382,80087654
"480",2017-03-23 09:51:21,9.16,9.16,9.23,9.15,9.23,8729482,80254696
"481",2017-03-23 09:51:24,9.16,9.16,9.23,9.15,9.23,8730882,80267618
"482",2017-03-23 09:51:27,9.16,9.16,9.23,9.15,9.22,8735882,80313718
"483",2017-03-23 09:51:30,9.16,9.16,9.23,9.15,9.22,8737982,80333080
"484",2017-03-23 09:51:33,9.16,9.16,9.23,9.15,9.23,9293082,85456652
"485",2017-03-23 09:51:36,9.16,9.16,9.23,9.15,9.23,9299182,85512955
"486",2017-03-23 09:51:39,9.16,9.16,9.23,9.15,9.23,9299182,85512955
"487",2017-03-23 09:51:42,9.16,9.16,9.23,9.15,9.22,9300182,85522175
"488",2017-03-23 09:51:45,9.16,9.16,9.23,9.15,9.22,9307782,85592258
"489",2017-03-23 09:51:48,9.16,9.16,9.23,9.15,9.23,9312282,85633793
"490",2017-03-23 09:51:51,9.16,9.16,9.23,9.15,9.23,9314882,85657791
"491",2017-03-23 09:51:54,9.16,9.16,9.23,9.15,9.22,9319282,85698359
"492",2017-03-23 09:51:57,9.16,9.16,9.23,9.15,9.23,9320182,85706666
"493",2017-03-23 09:52:00,9.16,9.16,9.23,9.15,9.23,9321782,85721434
"494",2017-03-23 09:52:03,9.16,9.16,9.23,9.15,9.23,9328782,85786023
"495",2017-03-23 09:52:06,9.16,9.16,9.23,9.15,9.23,9334982,85843249
"496",2017-03-23 09:52:09,9.16,9.16,9.23,9.15,9.23,9335082,85844172
"497",2017-03-23 09:52:12,9.16,9.16,9.23,9.15,9.22,9337382,85865399
"498",2017-03-23 09:52:15,9.16,9.16,9.23,9.15,9.22,9377182,86232355
"499",2017-03-23 09:52:18,9.16,9.16,9.23,9.15,9.23,9377382,86234201
"500",2017-03-23 09:52:21,9.16,9.16,9.23,9.15,9.22,9381782,86274770
"501",2017-03-23 09:52:24,9.16,9.16,9.23,9.15,9.22,9383782,86293220
"502",2017-03-23 09:52:27,9.16,9.16,9.23,9.15,9.22,9407882,86515455
"503",2017-03-23 09:52:30,9.16,9.16,9.23,9.15,9.23,9412482,86557913
"504",2017-03-23 09:52:33,9.16,9.16,9.23,9.15,9.22,9414482,86576353
"505",2017-03-23 09:52:36,9.16,9.16,9.23,9.15,9.22,9424482,86668553
"506",2017-03-23 09:52:39,9.16,9.16,9.23,9.15,9.22,9425882,86681461
"507",2017-03-23 09:52:42,9.16,9.16,9.23,9.15,9.22,9435882,86773661
"508",2017-03-23 09:52:45,9.16,9.16,9.23,9.15,9.22,9435882,86773661
"509",2017-03-23 09:52:48,9.16,9.16,9.23,9.15,9.23,9438482,86797636
"510",2017-03-23 09:52:51,9.16,9.16,9.23,9.15,9.22,9446082,86867715
"511",2017-03-23 09:52:54,9.16,9.16,9.23,9.15,9.23,9447982,86885252
"512",2017-03-23 09:52:57,9.16,9.16,9.23,9.15,9.22,9467882,87068730
"513",2017-03-23 09:53:00,9.16,9.16,9.23,9.15,9.23,9479882,87179407
"514",2017-03-23 09:53:03,9.16,9.16,9.23,9.15,9.22,9486982,87244919
"515",2017-03-23 09:53:06,9.16,9.16,9.23,9.15,9.22,9486982,87244919
"516",2017-03-23 09:53:09,9.16,9.16,9.23,9.15,9.23,9488582,87259677
"517",2017-03-23 09:53:12,9.16,9.16,9.23,9.15,9.22,9492382,87294713
"518",2017-03-23 09:53:15,9.16,9.16,9.23,9.15,9.22,9492382,87294713
"519",2017-03-23 09:53:18,9.16,9.16,9.23,9.15,9.22,9492982,87300245
"520",2017-03-23 09:53:21,9.16,9.16,9.23,9.15,9.22,9501282,87376782
"521",2017-03-23 09:53:24,9.16,9.16,9.23,9.15,9.22,9502282,87386002
"522",2017-03-23 09:53:27,9.16,9.16,9.23,9.15,9.23,9567782,87990537
"523",2017-03-23 09:53:30,9.16,9.16,9.23,9.15,9.22,9578782,88091957
"524",2017-03-23 09:53:33,9.16,9.16,9.23,9.15,9.23,9586182,88160258
"525",2017-03-23 09:53:36,9.16,9.16,9.23,9.15,9.23,9586182,88160258
"526",2017-03-23 09:53:39,9.16,9.16,9.23,9.15,9.22,9599882,88286609
"527",2017-03-23 09:53:42,9.16,9.16,9.23,9.15,9.23,9600382,88291224
"528",2017-03-23 09:53:45,9.16,9.16,9.23,9.15,9.22,9605082,88334558
"529",2017-03-23 09:53:48,9.16,9.16,9.23,9.15,9.23,9611282,88391784
"530",2017-03-23 09:53:51,9.16,9.16,9.23,9.15,9.23,9635782,88617919
"531",2017-03-23 09:53:54,9.16,9.16,9.23,9.15,9.23,9640282,88659454
"532",2017-03-23 09:53:57,9.16,9.16,9.23,9.15,9.23,9640282,88659454
"533",2017-03-23 09:54:00,9.16,9.16,9.23,9.15,9.23,9646882,88720358
"534",2017-03-23 09:54:03,9.16,9.16,9.23,9.15,9.23,9646882,88720358
"535",2017-03-23 09:54:06,9.16,9.16,9.23,9.15,9.22,9647082,88722202
"536",2017-03-23 09:54:09,9.16,9.16,9.23,9.15,9.22,9647082,88722202
"537",2017-03-23 09:54:12,9.16,9.16,9.23,9.15,9.22,9655582,88800572
"538",2017-03-23 09:54:15,9.16,9.16,9.23,9.15,9.22,9657682,88819945
"539",2017-03-23 09:54:18,9.16,9.16,9.23,9.15,9.22,9660182,88842995
"540",2017-03-23 09:54:21,9.16,9.16,9.23,9.15,9.23,9661682,88856836
"541",2017-03-23 09:54:24,9.16,9.16,9.23,9.15,9.23,9666082,88897428
"542",2017-03-23 09:54:27,9.16,9.16,9.23,9.15,9.22,9677382,89001615
"543",2017-03-23 09:54:30,9.16,9.16,9.23,9.15,9.23,9686482,89085608
"544",2017-03-23 09:54:33,9.16,9.16,9.23,9.15,9.23,9686482,89085608
"545",2017-03-23 09:54:36,9.16,9.16,9.23,9.15,9.23,9686482,89085608
"546",2017-03-23 09:54:39,9.16,9.16,9.23,9.15,9.23,9688482,89104068
"547",2017-03-23 09:54:42,9.16,9.16,9.23,9.15,9.23,9689082,89109601
"548",2017-03-23 09:54:45,9.16,9.16,9.23,9.15,9.22,9694482,89159394
"549",2017-03-23 09:54:48,9.16,9.16,9.23,9.15,9.22,9696482,89177834
"550",2017-03-23 09:54:51,9.16,9.16,9.23,9.15,9.23,9697182,89184295
"551",2017-03-23 09:54:54,9.16,9.16,9.23,9.15,9.22,9711182,89313375
"552",2017-03-23 09:54:57,9.16,9.16,9.23,9.15,9.23,9713482,89334604
"553",2017-03-23 09:55:00,9.16,9.16,9.23,9.15,9.22,9715782,89355810
"554",2017-03-23 09:55:03,9.16,9.16,9.23,9.15,9.23,9717282,89369645
"555",2017-03-23 09:55:06,9.16,9.16,9.23,9.15,9.23,9725282,89443485
"556",2017-03-23 09:55:09,9.16,9.16,9.23,9.15,9.23,9739082,89570794
"557",2017-03-23 09:55:12,9.16,9.16,9.23,9.15,9.23,9739082,89570794
"558",2017-03-23 09:55:15,9.16,9.16,9.23,9.15,9.22,9740082,89580014
"559",2017-03-23 09:55:18,9.16,9.16,9.23,9.15,9.22,9740082,89580014
"560",2017-03-23 09:55:21,9.16,9.16,9.23,9.15,9.23,9741982,89597551
"561",2017-03-23 09:55:24,9.16,9.16,9.23,9.15,9.22,9754482,89712851
"562",2017-03-23 09:55:27,9.16,9.16,9.23,9.15,9.22,9755082,89718383
"563",2017-03-23 09:55:30,9.16,9.16,9.23,9.15,9.23,9756982,89735920
"564",2017-03-23 09:55:33,9.16,9.16,9.23,9.15,9.22,9757011,89736187
"565",2017-03-23 09:55:36,9.16,9.16,9.23,9.15,9.22,9757011,89736187
"566",2017-03-23 09:55:39,9.16,9.16,9.23,9.15,9.22,9758011,89745407
"567",2017-03-23 09:55:42,9.16,9.16,9.23,9.15,9.22,9765211,89811791
"568",2017-03-23 09:55:45,9.16,9.16,9.23,9.15,9.22,9791511,90054277
